Ayuntamiento;Cuentas 2009;Cuentas 2010;Cuentas 2011;Poblacion 2009;Poblacion 2010;Poblacion 2011;Viviendas 2001
Freila ;Cuenta rendida ;Cuenta rendida ;Cuenta no rendida;1132;1092;1060;926
Fuente Vaqueros ;Cuenta no rendida ;Cuenta no rendida ;Cuenta no rendida;4353;4325;4229;4020
Gabias (Las) ;Cuenta rendida ;Cuenta rendida ;Cuenta no rendida;17415;17970;18381;9703
Galera ;Cuenta no rendida ;Cuenta no rendida ;Cuenta no rendida;1057;1236;1243;1284
Gobernador ;Cuenta no rendida ;Cuenta no rendida ;Cuenta no rendida;286;308;322;337
Gójar ;Cuenta rendida ;Cuenta rendida ;Cuenta no rendida;5297;5315;5340;3706
Gor ;Cuenta no rendida ;Cuenta no rendida ;Cuenta no rendida;917;924;877;1035
Gorafe ;Cuenta rendida ;Cuenta rendida ;Cuenta rendida;474;471;461;552
Granada ;Cuenta no rendida ;Cuenta no rendida ;Cuenta no rendida;239154;240099;239017;240661
Guadahortuna ;Cuenta no rendida ;Cuenta no rendida ;Cuenta no rendida;1999;2013;1963;2265
Guadix ;Cuenta rendida ;Cuenta rendida ;Cuenta rendida;20407;20375;18920;18188
Guajares (Los) ;Cuenta no rendida ;Cuenta no rendida ;Cuenta no rendida;1191;1194;1170;1270
Gualchos ;Cuenta no rendida ;Cuenta no rendida ;Cuenta no rendida;4330;4672;4805;2759
Güejar Sierra ;Cuenta rendida ;Cuenta rendida ;Cuenta rendida;2988;3023;3007;2818
Güevéjar ;Cuenta rendida ;Cuenta rendida ;Cuenta rendida;2455;2501;2565;1748
Huélago ;Cuenta rendida ;Cuenta rendida ;Cuenta no rendida;358;351;361;492
Huéneja ;Cuenta rendida ;Cuenta rendida ;Cuenta rendida;1214;1261;1228;1220
Huéscar ;Cuenta rendida ;Cuenta rendida ;Cuenta rendida;8178;8131;8015;7910
Huétor de Santillán ;Cuenta rendida ;Cuenta no rendida ;Cuenta no rendida;1891;1880;1836;1812
Huétor Tájar ;Cuenta rendida ;Cuenta rendida ;Cuenta no rendida;9998;10134;10084;8839
Huétor Vega ;Cuenta rendida ;Cuenta rendida ;Cuenta rendida;11551;11770;11853;9422
Illora ;Cuenta no rendida ;Cuenta no rendida ;Cuenta no rendida;10386;10346;10716;10514
Itrabo ;Cuenta no rendida ;Cuenta no rendida ;Cuenta no rendida;1152;1169;1070;1007
Iznalloz ;Cuenta rendida ;Cuenta rendida ;Cuenta rendida;7019;7003;6995;6763
Jayena ;Cuenta rendida ;Cuenta rendida ;Cuenta rendida;1209;1162;1151;1405
Jerez del Marquesado ;Cuenta rendida ;Cuenta no rendida ;Cuenta no rendida;1083;1079;1061;1100
Jete ;Cuenta no rendida ;Cuenta no rendida ;Cuenta no rendida;890;888;909;735
Jun ;Cuenta rendida ;Cuenta rendida ;Cuenta rendida;3355;3438;3558;2010
Juviles ;Cuenta no rendida ;Cuenta no rendida ;Cuenta no rendida;170;167;163;170
Láchar ;Cuenta no rendida ;Cuenta no rendida ;Cuenta no rendida;3115;3179;3205;2486
Lanjarón ;Cuenta rendida ;Cuenta rendida ;Cuenta no rendida;3861;3859;3826;3705
Lanteira ;Cuenta rendida ;Cuenta no rendida ;Cuenta no rendida;582;572;570;614
Lecrín ;Cuenta no rendida ;Cuenta no rendida ;Cuenta no rendida;2304;2271;2299;2279
Lentegí ;Cuenta no rendida ;Cuenta no rendida ;Cuenta no rendida;340;336;333;337
Lobras ;Cuenta rendida ;Cuenta rendida ;Cuenta no rendida;146;160;159;152
Loja ;Cuenta rendida ;Cuenta rendida ;Cuenta no rendida;21688;21618;21496;20060
Lugros ;Cuenta rendida ;Cuenta rendida ;Cuenta rendida;350;342;340;379
Lújar ;Cuenta no rendida ;Cuenta no rendida ;Cuenta no rendida;462;453;519;512
Malahá (La) ;Cuenta no rendida ;Cuenta no rendida ;Cuenta no rendida;1840;1828;1837;1657
Maracena ;Cuenta rendida ;Cuenta rendida ;Cuenta no rendida;21097;21264;21514;16517
Marchal ;Cuenta rendida ;Cuenta no rendida ;Cuenta no rendida;373;418;446;411
Moclín ;Cuenta rendida ;Cuenta rendida ;Cuenta no rendida;4237;4213;4204;4488
Molvízar ;Cuenta rendida ;Cuenta no rendida ;Cuenta no rendida;3269;3203;3215;2787
Monachil ;Cuenta no rendida ;Cuenta no rendida ;Cuenta no rendida;7294;7399;7402;5557
Montefrío ;Cuenta rendida ;Cuenta rendida ;Cuenta no rendida;6229;6152;6054;6453
Montejícar ;Cuenta no rendida ;Cuenta no rendida ;Cuenta no rendida;2464;2442;2375;2780
Montillana ;Cuenta rendida ;Cuenta rendida ;Cuenta no rendida;1360;1404;1386;1338
Moraleda de Zafayona ;Cuenta rendida ;Cuenta rendida ;Cuenta rendida;3076;3281;3266;2943
Morelábor ;Cuenta no rendida ;Cuenta no rendida ;Cuenta no rendida;737;765;742;919
Motril ;Cuenta no rendida ;Cuenta no rendida ;Cuenta no rendida;60884;60887;61171;51298
Murtas ;Cuenta no rendida ;Cuenta no rendida ;Cuenta no rendida;658;648;621;725
Nevada ;Cuenta rendida ;Cuenta rendida ;Cuenta no rendida;1179;1165;1158;1272
Nigüelas ;Cuenta rendida ;Cuenta rendida ;Cuenta rendida;1169;1181;1203;1118
Nívar ;Cuenta rendida ;Cuenta rendida ;Cuenta rendida;872;923;937;722
Ogíjares ;Cuenta no rendida ;Cuenta no rendida ;Cuenta no rendida;13255;13345;13403;9838
Orce ;Cuenta rendida ;Cuenta no rendida ;Cuenta no rendida;1321;1321;1301;1395
Órgiva ;Cuenta rendida ;Cuenta no rendida ;Cuenta no rendida;5789;5756;5772;4873
Otívar ;Cuenta no rendida ;Cuenta no rendida ;Cuenta no rendida;1136;1193;1203;1082
Otura ;Cuenta rendida ;Cuenta rendida ;Cuenta no rendida;6598;6747;6910;4833
Padul ;Cuenta no rendida ;Cuenta no rendida ;Cuenta no rendida;8270;8416;8480;7144
Pampaneira ;Cuenta no rendida ;Cuenta no rendida ;Cuenta no rendida;356;363;344;295
Pedro Martínez ;Cuenta no rendida ;Cuenta rendida ;Cuenta rendida;1293;1273;1272;1294
Peligros ;Cuenta no rendida ;Cuenta no rendida ;Cuenta no rendida;11000;11021;11059;8439
Peza (La) ;Cuenta no rendida ;Cuenta no rendida ;Cuenta no rendida;1341;1303;1293;1445
Pinar (El) ;Cuenta no rendida ;Cuenta no rendida ;Cuenta no rendida;1011;1009;1034;1088
Pinos Genil ;Cuenta rendida ;Cuenta rendida ;Cuenta rendida;1289;1363;1409;1309
Pinos Puente ;Cuenta rendida ;Cuenta rendida ;Cuenta no rendida;13421;13314;13115;13422
Píñar ;Cuenta no rendida ;Cuenta no rendida ;Cuenta no rendida;1314;1299;1283;1337
Polícar ;Cuenta no rendida ;Cuenta no rendida ;Cuenta no rendida;227;229;220;266
Polopos ;Cuenta rendida ;Cuenta rendida ;Cuenta rendida;1856;1904;1966;1358
Pórtugos ;Cuenta no rendida ;Cuenta no rendida ;Cuenta no rendida;401;384;364;431
Puebla de Don Fadrique ;Cuenta no rendida ;Cuenta no rendida ;Cuenta no rendida;2474;2415;2393;2549
Pulianas ;Cuenta rendida ;Cuenta rendida ;Cuenta no rendida;5187;5143;5226;4437
Purullena ;Cuenta no rendida ;Cuenta no rendida ;Cuenta no rendida;2262;2260;2403;2563
Quéntar ;Cuenta rendida ;Cuenta rendida ;Cuenta no rendida;1045;1025;1009;1125
Rubite ;Cuenta no rendida ;Cuenta no rendida ;Cuenta no rendida;450;456;500;440
Salar ;Cuenta rendida ;Cuenta rendida ;Cuenta rendida;2831;2790;2758;2743
Salobreña ;Cuenta no rendida ;Cuenta no rendida ;Cuenta no rendida;12821;12790;12622;10368
Santa Cruz del Comercio ;Cuenta rendida ;Cuenta rendida ;Cuenta no rendida;597;594;584;537
Santa Fe ;Cuenta no rendida ;Cuenta no rendida ;Cuenta no rendida;15428;15367;15322;12824
Soportújar ;Cuenta rendida ;Cuenta rendida ;Cuenta rendida;250;280;298;249
Sorvilán ;Cuenta rendida ;Cuenta no rendida ;Cuenta no rendida;614;592;577;696
Taha (La) ;Cuenta no rendida ;Cuenta no rendida ;Cuenta no rendida;776;810;778;781
Torre-Cardela ;Cuenta no rendida ;Cuenta no rendida ;Cuenta no rendida;955;937;920;1164
Torvizcón ;Cuenta no rendida ;Cuenta no rendida ;Cuenta no rendida;788;755;736;872
Trevélez ;Cuenta rendida ;Cuenta rendida ;Cuenta rendida;842;823;795;775
Turón ;Cuenta no rendida ;Cuenta rendida ;Cuenta rendida;297;291;289;327
Ugíjar ;Cuenta rendida ;Cuenta rendida ;Cuenta no rendida;2681;2711;2643;2649
Valle (El) ;Cuenta rendida ;Cuenta no rendida ;Cuenta rendida;1130;2315;2260;1279
Valle del Zalabí ;Cuenta no rendida ;Cuenta no rendida ;Cuenta no rendida;2304;1161;1142;2366
